Type	Depth	Parent
UwU Moment	1	__nothing__
thermodynamic process	1	__nothing__
transformation	1	__nothing__
aviation accident	1	__nothing__
administrative territorial entity of Libya	1	__nothing__
carboxylate anion	1	__nothing__
space program of the United States	1	__nothing__
space mission	1	__nothing__
administrative territorial entity of Michigan	1	__nothing__
non-metropolitan county	1	__nothing__
non-metropolitan district	1	__nothing__
borough	1	__nothing__
textile	1	__nothing__
textile artwork	1	__nothing__
borough	1	__nothing__
carboxylic acid	1	__nothing__
writing	1	__nothing__
spring	1	__nothing__
mathematical model	1	__nothing__
exhibition	1	__nothing__
couple	1	__nothing__
paper size	1	__nothing__
free and open-source software	1	__nothing__
administrative territorial entity of Peru	1	__nothing__
derivation	1	__nothing__
word	1	__nothing__
cyclic process	1	__nothing__
habit	1	__nothing__
comarca of Spain	1	__nothing__
administrative territorial entity of California	1	__nothing__
patriotic song	1	__nothing__
hymn	1	__nothing__
Sunni Islam	1	__nothing__
ratio scale of measurement	1	__nothing__
anniversary	1	__nothing__
family of clouds	1	__nothing__
compilation	1	__nothing__
UwU Moment	1	__nothing__
archaeological culture	1	__nothing__
fictional equine	1	__nothing__
electronic machine	1	__nothing__
former populated place	1	__nothing__
former statistical territorial entity	1	__nothing__
microregion	1	__nothing__
Mesoregion (geography)	1	__nothing__
constituent	1	__nothing__
linguistic unit	1	__nothing__
tram system	1	__nothing__
railway network	1	__nothing__
live release	1	__nothing__
mass shooting	1	__nothing__
school massacre	1	__nothing__
Tangente	1	__nothing__
transport line	1	__nothing__
metropolitan area	1	__nothing__
Core Based Statistical Area	1	__nothing__
thought	1	__nothing__
fictional insect	1	__nothing__
twins	1	__nothing__
swimming place	1	__nothing__
master's degree in Europe	1	__nothing__
administrative territorial entity of Virginia	1	__nothing__
mythical human-animal hybrid	1	__nothing__
art material	1	__nothing__
central government	1	__nothing__
unit	1	__nothing__
sacrifice	1	__nothing__
municipal arrondissement	1	__nothing__
character encoding	1	__nothing__
Variable-length code	1	__nothing__
character set	1	__nothing__
character encoding scheme	1	__nothing__
Local Assembly in Japan	1	__nothing__
mining accident	1	__nothing__
dam failure	1	__nothing__
Q2452231	1	__nothing__
file system object	1	__nothing__
ethnic minority	1	__nothing__
ethnic community	1	__nothing__
Sweden national football team	1	__nothing__
FIFA World Cup team	1	__nothing__
hypothetical entity	1	__nothing__
disk operating system	1	__nothing__
poisoning	1	__nothing__
scandal	1	__nothing__
chemical hazard	1	__nothing__
hazardous chemical exposure	1	__nothing__
abstract noun	1	__nothing__
administrative territorial entity of Ecuador	1	__nothing__
studio album	1	__nothing__
legislative building	1	__nothing__
low spot	1	__nothing__
branch of biology	1	__nothing__
drainage basin	1	__nothing__
Federal bodies of executive power (Russian Federation)	1	__nothing__
country club	1	__nothing__
low spot	1	__nothing__
input device	1	__nothing__
attack	1	__nothing__
felony	1	__nothing__
National Park System unit	1	__nothing__
memorial	1	__nothing__
Catholic particular church sui iuris	1	__nothing__
battle	1	__nothing__
state park of the United States	1	__nothing__
local education agency	1	__nothing__
hymn	1	__nothing__
patriotic song	1	__nothing__
linguistics term	1	__nothing__
Local Assembly in Japan	1	__nothing__
youth organization	1	__nothing__
F type	1	__nothing__
memorial	1	__nothing__
anniversary	1	__nothing__
K	1	__nothing__
aircraft power class	1	__nothing__
aircraft lift class	1	__nothing__
ward of Japan	1	__nothing__
special local public entity	1	__nothing__
real number	1	__nothing__
active galactic nucleus	1	__nothing__
public holidays in the United States	1	__nothing__
federal holiday	1	__nothing__
resort	1	__nothing__
mountain resort	1	__nothing__
house cat	1	__nothing__
domestic short-haired cat	1	__nothing__
biblical episode	1	__nothing__
scandal	1	__nothing__
corruption scandal	1	__nothing__
algorithm	1	__nothing__
sorting algorithm	1	__nothing__
Countable set	1	__nothing__
monoid object	1	__nothing__
null set	1	__nothing__
number sequence	1	__nothing__
category	1	__nothing__
horeca chain	1	__nothing__
direction	1	__nothing__
crisis	1	__nothing__
economic problem	1	__nothing__
differential operator	1	__nothing__
partial differential equation	1	__nothing__
farming business	1	__nothing__
farm	1	__nothing__
evaluation	1	__nothing__
quality control method	1	__nothing__
biogenic peptide	1	__nothing__
heterodetic cyclic peptide	1	__nothing__
peptide hormones	1	__nothing__
additive object	1	__nothing__
Production of food industry by OKP	1	__nothing__
société limité	1	__nothing__
Formula One race	1	__nothing__
spatio-temporal entity	1	__nothing__
realm of the dead	1	__nothing__
canonization status	1	__nothing__
banner	1	__nothing__
flag design	1	__nothing__
flag	1	__nothing__
administrative territorial entity of Pakistan	1	__nothing__
crosslink page	1	__nothing__
outline	1	__nothing__
voice type	1	__nothing__
crisis	1	__nothing__
economic problem	1	__nothing__
live release	1	__nothing__
parliamentary group	1	__nothing__
business group	1	__nothing__
macromolecule	1	__nothing__
ferrous alloy	1	__nothing__
alloy	1	__nothing__
portal	1	__nothing__
missile	1	__nothing__
multiple barrel firearm	1	__nothing__
unguided bomb	1	__nothing__
Indigenous peoples of North America	1	__nothing__
promissory note	1	__nothing__
concrete object	1	__nothing__
rolling stock class	1	__nothing__
general election	1	__nothing__
shape	1	__nothing__
rolling stock class	1	__nothing__
infantry unit	1	__nothing__
regiment	1	__nothing__
military unit size class	1	__nothing__
military unit type class	1	__nothing__
point in time with respect to recurrent timeframe	1	__nothing__
psychopathological syndrome	1	__nothing__
borough	1	__nothing__
fictional planet	1	__nothing__
point group	1	__nothing__
disk storage format	1	__nothing__
file system	1	__nothing__
logical volume management	1	__nothing__
physical property	2	property
blockade	2	military operation
electronic journal	2	online publication
phenomenon	2	phenomenon
offense against personal freedom	2	offense
concert	2	musical performance
terrain	2	landform
ideology	2	morality
recurring event	2	periodic process
protected name	2	intellectual property
dwarf planet	2	planemo
scientific name, published under a Code of nomenclature	2	name
universal law	2	principle
extraterrestrials in fiction	2	fictional entity
currency	2	medium of exchange
Norse mythical entity	2	mythical entity
epigroup	2	semigroup
specialty	2	knowledge
organofluorine	2	organohalogen compound
cyclone	2	low pressure area
pesticide	2	mode of toxic action
gravitationally bound system	2	physical system
award	2	grant
tabletop game	2	parlour game
cultural heritage	2	heritage
former administrative territorial entity	2	historical administrative division
mythical creature	2	mythical entity
pharmaceutic aid	2	specialty use of chemicals
nonviolence	2	group action
governing body	2	organ
peninsula	2	natural geographic object
data format	2	code
form of government	2	administrative type
mapping	2	function
classification in sports	2	specialised classification scheme
immunologic factor	2	physiological effect of drugs
document repository	2	digital library
grammatical category	2	property
national under-17 association football team	2	national youth football team
agent	2	individual
webisode	2	audiovisual work
government organization	2	organ
dog	2	pet
sign	2	knowledge
helicopter	2	rotorcraft
fictional lion	2	fictional Pantherinae
battery electric vehicle	2	zero-emissions vehicle
grade of an order	2	rank
legislature	2	state power
prototype	2	test
bioconstruction	2	structure
scientific knowledge	2	knowledge
computer network protocol	2	communications protocol
measuring instrument	2	tool
Anilide	2	aromatic amide
aspect	2	property
noble title	2	rank
executive branch	2	state power
natural monument	2	natural geographic object
mythological horse	2	fictional horse
city of federal subject significance of Russia	2	types of towns and cities in Russia
election	2	voting
archive	2	GLAM
soft drink	2	non-alcoholic beverage
metaclass	2	class
sound generator	2	device
organ component gland	2	organ component
hydroelectric power station	2	power station
family name	2	anthroponym
Pacific hurricane	2	Atlantic North, Eastern and Central Pacific Tropical Cyclones
languoid class	2	rank
encoder	2	object
mythical ethnic group	2	mythical entity
religious conversion	2	conversion
flammable object	2	physical object
external risk	2	risk
looting	2	theft
hormone	2	biological macromolecule
history of the city	2	history
development environment	2	deployment environment
spirit	2	abstract being
software library	2	software component
high-rise building	2	multi-storey urban building
grave	2	location of burial
fictional location	2	fictional entity
medical attribute	2	property
skill	2	knowledge
requirement	2	rule
anatomical structure	2	material anatomical entity
cell line	2	cell
vessel	2	vehicle
fictional organism	2	fictional entity
distributed ledger	2	distributed data store
statesperson	2	politician
anion	2	ion
constitutional monarchy	2	monarchy
financial services	2	service
biotope	2	natural geographic object
river mouth	2	natural geographic object
EU mission	2	military operation
government agency	2	organ
rebellion	2	conflict
fluvial landform	2	landform
library	2	GLAM
independent school	2	independent school
powder	2	granular material
island	2	landform
quality	2	property
fluid	2	substance
disease of anatomical entity	2	disease
murder	2	homicide
mountain	2	landform
title	2	name
mountain range	2	landform
multicellular organism	2	organism
taxonomic rank	2	rank
computing platform	2	computing infrastructure
hypothesis	2	proposition
folk culture	2	culture
history of the world	2	history
occurrence	2	temporal entity
wall	2	vertical structural element
nickname	2	name
ritual	2	human behaviour
crater	2	natural geographic object
fatty acid amide	2	fatty acyl
collectible	2	object
fictional universe	2	setting
steep grade railway	2	railway
musical structure	2	structure
religious experience	2	qualia
fictional character	2	fictional entity
archaeology	2	study of history
online resource	2	information resource
water feature	2	architectural element
space object	2	object
military offensive	2	military operation
station located on surface	2	station
predator	2	organism
eparchy	2	diocese
gate	2	device
astronomy classification	2	specialised classification scheme
fictional organization	2	fictional entity
subterranea	2	landform
girls school	2	single-sex school
arch	2	architectural element
law	2	rule
seal	2	insignia
graph algorithm	2	combinatorial algorithm
symbol	2	image
deity	2	supernatural being
sport	2	physical activity
airport	2	station
system testing	2	test
telescope	2	optical instrument
base material	2	ordinary matter
flammable solid	2	solid
watercraft	2	vehicle
chemical substance	2	chemical entity
three-dimensional object	2	object
polyatomic ion	2	ion
profession	2	job
ancient city	2	lost city
aircraft	2	flying machine
unmanned vehicle	2	vehicle
material property	2	property
monoid	2	semigroup
commercial vehicle	2	motor vehicle
motorboat	2	motor vehicle
Wissenschaft	2	knowledge
railway station	2	operation point
news	2	communication
Überrest	2	historical source
station located underground	2	station
service on internet	2	network service
interferometer	2	optical instrument
medical test	2	test
horse	2	domesticated mammal
fictional liminal being	2	fictional entity
municipality of Austria	2	LAU 2
non-negative integer	2	integer
neckwear	2	costume accessory
religion	2	personal data
Scottish burgh	2	historical administrative division
natural person	2	legal person
animal	2	organism
historical region	2	former entity
electron acceptor	2	substance
subject of international law	2	legal person
Wikidata internal entity	2	Wikimedia internal item
hypothetical astronomical object	2	hypothetical scientific object
phosphorus oxoanion	2	oxyanion
planet	2	planemo
seaplane	2	airplane
weapon	2	tool
center of mass	2	criterion
given name	2	anthroponym
social movement	2	group action
performing arts school	2	arts educational institution
copyrighted	2	intellectual property
halogenated hydrocarbon	2	organohalogen compound
artificial physical object	2	physical object
non-renewable resource	2	natural resource
work	2	artificial entity
combat	2	conflict
storage	2	structure
United States currency	2	money
free software	2	free content
Wikimedia category	2	Wikimedia internal item
mental disorder	2	disease
intervention	2	International Relations
time interval	2	property
spacecraft	2	flying machine
cultural movement	2	group action
moving image	2	image
reference work	2	tertiary source
abstract object	2	object
local authority	2	organ
artificial geographic entity	2	geographic entity
depression	2	landform
stage race	2	cycling race
system	2	structure
abandoned project	2	proposed entity
continent	2	natural geographic object
volcanic landform	2	landform
disease causative agent	2	risk source
bombardment	2	military operation
paradigm	2	rule
promontory	2	landform
plant	2	organism
pseudonym	2	name
perceptible object	2	physical object
notion	2	knowledge
style	2	group action
medical finding	2	observation
Roman naming conventions	2	anthroponym
public space	2	geographic entity
gene	2	biological sequence
natural heritage	2	heritage
astronomical interferometer	2	astronomical instrument
race	2	name
plant variety	2	cultivar
premise	2	proposition
error	2	risk source
item of collection or exhibition	2	physical object
alphabet	2	finite set
stylistic device	2	rhetorical device
Atlantic hurricane	2	regional wind
war crime	2	atrocity crime
group of humans	2	group of living things
Wikimedia page outside the main knowledge tree	2	Wikimedia internal item
martial arts	2	combat sport
source coding	2	data compression
noxae	2	mode of toxic action
location	2	geographic entity
military taxonomy	2	specialised classification scheme
group of mythical characters	2	mythical entity
knowledge organization system	2	rule
suspected contagious disease	2	disease
cation	2	ion
crowdfunding platform	2	two-sided market
armed conflict	2	conflict
mythical place	2	mythical entity
geographical object	2	geographic entity
domestic rabbit	2	domesticated mammal
operational risk	2	risk
research object	2	object
limited company	2	commercial company
seat of local government	2	building of public administration
program compilation	2	product bundling
referendum	2	voting
experiment	2	test
biblical character	2	religious character
territorial dispute	2	conflict
class of mythical entities	2	mythical entity
United States federal agency	2	federal agency
individual quantity	2	abstract being
top-level domain	2	domain name
town in Hungary	2	settlement of Hungary
design element	2	attribute
palindromic number	2	palindrome
infectious disease	2	infection associated with diseases
electric vehicle	2	vehicle
flood	2	high tide
anime	2	audiovisual work
physical phenomenon	2	phenomenon
particle	2	physical object
portrait	2	image
measure	2	criterion
treatment	2	medical procedure
recurring	2	temporal entity
electronic game	2	artificial entity
operating system component	2	software component
car	2	motor vehicle
government building	2	building of public administration
mythical event	2	mythical entity
academic title	2	professional certification
human rights	2	rights
narrative entity	2	item with given name property
Q42104541	2	supernatural being
hyperlocal manufacturing	2	service
license	2	permit
jewellery	2	costume accessory
social phenomenon	3	phenomenon
comburent	3	chemical substance
identity	3	quality
absence	3	class
personality trait	3	quality
ship	3	vessel
vessel class	3	class
airliner	3	commercial vehicle
field experiment	3	experiment
cave	3	subterranea
church element	3	perceptible object
sign system	3	system
decoration	3	award
file format	3	data format
Public License	3	license
point of view	3	notion
card game	3	tabletop game
facility	3	artificial geographic entity
hero	3	fictional character
conceptual system	3	system
dance school	3	performing arts school
goddess	3	deity
monocation	3	cation
flight	3	occurrence
holiday	3	recurring event
work of art	3	item of collection or exhibition
dissolution	3	occurrence
car-free place	3	location
brand	3	class
physico-geographical object	3	geographical object
animated character	3	fictional character
heraldic animal	3	symbol
film award	3	award
Wikibase data model element	3	abstract object
product	3	artificial physical object
monotheistic religion	3	religion
Q1088986	3	mythical creature
intermediate product	3	base material
group of manifestations	3	group
angel in Christianity	3	biblical character
national symbol	3	symbol
binary system	3	gravitationally bound system
natural number	3	non-negative integer
political archive	3	archive
calendar	3	system
security risk	3	operational risk
find spot	3	geographical object
organization	3	agent
massacre	3	murder
manned spacecraft	3	spacecraft
human migration	3	occurrence
mythological canine	3	mythical creature
xenobiotic	3	chemical substance
room	3	location
residence	3	location
timepiece	3	measuring instrument
pentad	3	group
undead in a work of fiction	3	fictional liminal being
depository library	3	library
school of thought	3	group of humans
class (set theory)	3	class
mass murder	3	murder
fictional humanoid	3	fictional organism
substance use disorder	3	mental disorder
facial feature	3	anatomical structure
cultural artifact	3	artificial physical object
visual artwork	3	artificial physical object
recurring sporting event	3	recurring event
unit of analysis	3	research object
Equidae	3	animal
communication system	3	system
class of award	3	award
phytopharmaceuticals	3	pesticide
unary function	3	operation
Christian religious occupation	3	profession
musical ensemble	3	group of humans
era	3	time interval
quasi-autonomous non-governmental organisation	3	government organization
physical quantity	3	physical property
mixture	3	chemical substance
nutrient	3	chemical substance
streaming service	3	service on internet
key event	3	occurrence
administrative territorial entity of the German Democratic Republic	3	former administrative territorial entity
agreement	3	occurrence
zoocide	3	pesticide
creator deity	3	deity
kindred	3	group of humans
sibling group	3	group of humans
fire	3	physical phenomenon
intangible cultural heritage	3	cultural heritage
scientific law	3	universal law
coin object	3	artificial physical object
flammable liquid	3	flammable object
trait	3	quality
duo	3	group of humans
group	3	monoid
monoatomic anion	3	anion
academic degree	3	academic title
day	3	time interval
human-made landform	3	geographical object
fictional astronomical object	3	fictional location
noun class	3	grammatical category
change	3	occurrence
ammunition	3	artificial physical object
council	3	group of humans
parliament	3	legislature
star system	3	gravitationally bound system
group of fictional characters	3	fictional character
hypothetical planet	3	hypothetical astronomical object
superhuman quality	3	quality
artwork series	3	item of collection or exhibition
heritage site	3	cultural heritage
craft	3	profession
incident	3	occurrence
positioning system	3	system
Fleet	3	group
election in the United Kingdom	3	election
aircraft class	3	class
person	3	agent
viral phenomenon	3	phenomenon
Reproductive toxicant	3	noxae
title of honor	3	title
costumed character	3	fictional character
sports award	3	award
type of organisation	3	class
health specialty	3	specialty
architectural structure	3	work
manifestation	3	artificial physical object
intensive or extensive property	3	physical property
culture award	3	award
political ideology	3	ideology
festival	3	recurring event
Norse mythical character	3	Norse mythical entity
medication	3	chemical substance
unit of measurement	3	measure
isolated human group	3	group of humans
unmanned spacecraft	3	spacecraft
open space	3	geographical object
artillery	3	weapon
criminal law	3	law
special collections	3	library
social system	3	system
fictional creature	3	fictional character
electronic page	3	work
conceptual model	3	knowledge organization system
administrative territorial entity of the Ottoman Empire	3	former administrative territorial entity
mathematical object	3	abstract object
mythical people	3	class of mythical entities
transborder entity	3	geographical object
type of sport	3	class
nomen illegitimum	3	scientific name, published under a Code of nomenclature
chemical component	3	metaclass
reflecting telescope	3	telescope
information	3	abstract object
content rating category	3	class
legislature of a constituent state	3	legislature
giant planet	3	planet
conflation	3	error
impact crater	3	crater
group of Greek mythical characters	3	group of mythical characters
breed	3	class
spin-off	3	quality
liquid	3	fluid
academic discipline	3	specialty
carcinogen	3	noxae
representative	3	profession
special library	3	library
supernatural being in a work of fiction	3	fictional character
airstrike	3	military offensive
ministry	3	government agency
malleable material	3	base material
character	3	sign
container	3	artificial physical object
television character	3	fictional character
team	3	group of humans
Old wives' tale	3	statement
music award	3	award
interface	3	abstract object
living organism class	3	class
derivative work	3	work
coin	3	collectible
capability	3	quality
committee	3	group of humans
biological phenomenon	3	phenomenon
fictional robot	3	fictional character
annual event	3	recurring event
computer	3	computing platform
museum	3	location
homonym	3	scientific name, published under a Code of nomenclature
film character	3	fictional character
Roman city	3	ancient city
triad	3	group
ingredient	3	base material
dictionary	3	knowledge organization system
nymph	3	deity
joint-stock company	3	limited company
intellectual work	3	work
heptad	3	group
internet hosting service	3	service on internet
written work	3	work
optical telescope	3	telescope
processor	3	computing platform
pure substance	3	chemical substance
religious object	3	artificial physical object
fictional mutant	3	fictional character
woody plant	3	plant
underground building	3	subterranea
reaction inhibitor	3	chemical substance
watercraft type	3	class
job title	3	title
hurricane	3	Atlantic hurricane
database	3	product
sensor	3	measuring instrument
esports	3	sport
video game character	3	fictional character
purpose-designed aircraft	3	aircraft
state	3	phenomenon
Wikimedia project page	3	Wikimedia page outside the main knowledge tree
goods	3	perceptible object
encyclopedia	3	reference work
coat of arms	3	symbol
taxon	3	class
mythical animal	3	mythical creature
lucky symbol	3	perceptible object
mythical character	3	fictional character
public archive	3	archive
dyad	3	group
clothing material	3	base material
collection	3	group
comics character	3	fictional character
monoanion	3	anion
climbing plant	3	plant
gas	3	fluid
collective	3	group of humans
artistic profession	3	profession
content format	3	data format
sculpture	3	three-dimensional object
episode	3	work
pharmaceutical vehicle	3	pharmaceutic aid
drug	3	chemical substance
group or class of chemical substances	3	group
aspect of history	3	aspect
additive	3	chemical substance
monster	3	mythical creature
protein-coding gene	3	gene
through station	3	railway station
archaeological site	3	terrain
book	3	collectible
recreative work	3	work
bicameral alphabet	3	alphabet
weapon of mass destruction	3	weapon
version, edition, or translation	3	work
research library	3	library
war	3	armed conflict
genre	3	class
economic sector	3	system
belief system	3	system
Common Germanic deities	3	deity
network	3	system
action	3	occurrence
season	3	recurring event
clinical finding	3	medical finding
weapon testing	3	experiment
polyatomic cation	3	cation
radiation	3	physical phenomenon
literary character	3	fictional character
social group	3	group of humans
anthropomorphic character	3	fictional character
publication	3	work
psychoactive drug	3	chemical substance
former capital	3	former administrative territorial entity
languoid	3	abstract object
historical event	3	occurrence
archaeological find	3	perceptible object
aspect in a geographic region	3	aspect
pass	3	geographical object
siege engine	3	weapon
astronomical object	3	space object
group of physical objects	3	group
health problem	3	medical finding
television award	3	award
fictional human	3	fictional character
canyon	3	fluvial landform
restaurant	3	hyperlocal manufacturing
theatre award	3	award
commutative monoid	3	monoid
secret service	3	government organization
Hindu deity	3	deity
religious movement	3	social movement
month	3	time interval
legal form	3	class
optical phenomenon	3	physical phenomenon
meteor	3	phenomenon
patronymic surname	3	family name
magician in fantasy	3	fictional character
trademark	3	sign
geographic location	3	location
biological system	3	system
artificial body of water	3	artificial geographic entity
mythical hybrid	3	mythical creature
agent processing personal data	3	agent
galaxy group or cluster	3	gravitationally bound system
competence	3	skill
ranked list	3	work
hexad	3	group
campaign	3	occurrence
jewellery chain	3	jewellery
natural phenomenon	3	phenomenon
nature deity	3	deity
yacht	3	motorboat
series	3	group
cultural property	3	cultural heritage
terrestrial planet	3	planet
fictional animal character	3	fictional organism
volcano	3	volcanic landform
landing	3	occurrence
nation	3	group of humans
funny animal	4	anthropomorphic character
destination marketing organisation	4	organization
school library	4	special library
game	4	recreative work
positive integer	4	natural number
scholarly work	4	written work
exchange	4	organization
object of the inner Solar System	4	astronomical object
business	4	organization
quake	4	natural phenomenon
type of manufactured good	4	type
activity	4	action
specification edition	4	version, edition, or translation
locally finite group	4	group
club	4	organization
process	4	series
digital container format	4	file format
strain	4	taxon
home	4	residence
language	4	languoid
ship type	4	watercraft type
history museum	4	museum
geographic region	4	geographic location
musical collective	4	musical ensemble
Emmy Award	4	television award
status	4	role
spaceflight	4	flight
creative work	4	intellectual work
type of medical procedure	4	type
pharmaceutical preparation	4	medication
ethnic group	4	social group
lineage	4	organization
territorial change	4	change
hazard	4	state
note	4	character
unit of concentration	4	unit of measurement
enzyme inhibitor	4	reaction inhibitor
language variety	4	languoid
Cassegrain mirror system	4	reflecting telescope
trio	4	musical ensemble
syndicate	4	organization
state symbol	4	national symbol
sex	4	role
organization established by the United Nations	4	organization
astronomical radio source	4	astronomical object
broadcasting program	4	publication
art genre	4	genre
symptom	4	clinical finding
civil aircraft	4	purpose-designed aircraft
album	4	visual artwork
constituent state	4	state
inner planet	4	terrestrial planet
center	4	facility
altarpiece	4	visual artwork
translation	4	version, edition, or translation
Greek nymph	4	nymph
unit of time	4	unit of measurement
society	4	social group
financial institution	4	organization
railway incident	4	incident
release	4	publication
local government	4	organization
musical ensemble consisting solely of instruments	4	musical ensemble
art collection	4	collection
probability	4	mathematical object
assembly	4	organization
language group	4	languoid
mobile computer	4	computer
condition	4	state
food ingredient	4	ingredient
physical law	4	scientific law
unconfirmed astronomical object	4	astronomical object
amusement park	4	organization
quantity	4	mathematical object
population group	4	social group
Kulturdenkmal	4	heritage site
Islamic state	4	state
believer	4	person
telecommunications network	4	network
fusor	4	astronomical object
natural history collection	4	collection
free license	4	Public License
warfare	4	action
shrine	4	architectural structure
science	4	academic discipline
mythic humanoid	4	fictional humanoid
notation	4	sign system
data stream	4	series
event	4	social phenomenon
hall of fame	4	museum
postgraduate degree	4	academic degree
chemical compound	4	chemical component
association	4	organization
art prize	4	culture award
disposable product	4	product
God	4	creator deity
human settlement	4	geographic location
grotto	4	architectural structure
message	4	information
academic library	4	research library
flag day	4	holiday
health care structure	4	organization
museum of culture	4	museum
automorphism group	4	group
archangel	4	angel in Christianity
school building	4	facility
wizard in the Harry Potter universe	4	fictional human
biological products	4	product
animal organ	4	organ
population transfer	4	human migration
food additive	4	additive
use status	4	state
SI or accepted non-SI unit	4	unit of measurement
realm	4	state
social change	4	change
set	4	class (set theory)
broadcaster	4	organization
mathematical expression	4	mathematical object
aircraft model	4	product
star	4	astronomical object
role	4	role
physical state	4	state
film	4	visual artwork
point of interest	4	geographic location
language change	4	change
island nation	4	state
mythological dog	4	mythological canine
undergraduate degree	4	academic degree
image file format	4	content format
statue	4	sculpture
civil service	4	organization
gas giant	4	giant planet
thin group	4	group
merchant vessel	4	ship
object in the outer solar system	4	astronomical object
sailing ship	4	ship
data set	4	intellectual work
leader	4	person
biological process	4	biological phenomenon
musical work	4	work of art
inscription	4	written work
monument	4	architectural structure
list	4	collection
software	4	written work
Roman archaeological site	4	archaeological site
gender	4	identity
branch of science	4	academic discipline
consortium	4	organization
civil war	4	war
social class	4	social group
manga	4	written work
liberty	4	state
dimensionless quantity	4	physical quantity
essential medicine	4	medication
biome	4	biological system
painting	4	visual artwork
religious organization	4	organization
T-group	4	group
economy	4	social system
anesthetic	4	medication
war of independence	4	war
music organization	4	organization
human	4	person
institution	4	organization
onium ion	4	polyatomic cation
representation	4	relation
religious identity	4	identity
media studio facility	4	facility
political system	4	social system
alliance	4	organization
binary star	4	star system
text	4	information
robotic spacecraft	4	unmanned spacecraft
deep-sky object	4	astronomical object
people	4	social group
sports organization	4	organization
sports venue	4	facility
business administration	4	academic discipline
packaging and labeling	4	product
scholarly publication	4	publication
mythological king	4	mythical character
tower	4	architectural structure
spaceport	4	facility
asymmetric warfare	4	war
historic site	4	heritage site
substellar object	4	astronomical object
order	4	organization
construction	4	human-made landform
operation	4	goods
place of worship	4	religious object
infrastructure	4	goods
mythological Greek character	4	mythical character
archaeological artifact	4	archaeological find
fictional bird	4	fictional animal character
group of chemical compounds	4	group or class of chemical substances
moral quality	4	personality trait
pitch class	4	class (set theory)
musical group	4	musical ensemble
Wikimedia template	4	Wikimedia project page
monastery	4	organization
fictional mammal	4	fictional animal character
idiom	4	languoid
neurotransmitter agent	4	drug
audio format	4	content format
group of literary works	4	collection
philosophical school	4	school of thought
Q4470686	4	work of art
accord	4	agreement
SI unit	4	unit of measurement
personal computer	4	computer
nuclear weapon	4	weapon of mass destruction
designation for an administrative territorial entity	4	legal form
aviation incident	4	incident
chemical series	4	type
copyleft license	4	Public License
rural area	4	geographic location
obsolete unit of measurement	4	unit of measurement
series of creative works	4	series
central nervous system agent	4	medication
social relation	4	relation
open format	4	file format
shelter	4	architectural structure
angel	4	mythical character
monumental sculpture	4	sculpture
water deity	4	nature deity
locality	4	geographic location
science museum	4	museum
educational organization	4	organization
family	4	social group
computer language	4	intellectual work
arts	4	economic sector
vaccine	4	medication
parliamentary library	4	research library
liturgical book	4	book
symbols of Europe	4	national symbol
superhuman	4	fictional human
prescription drug	4	medication
cavity	4	absence
television genre	4	genre
thickener	4	ingredient
organ system	4	biological system
interaction	4	action
software version	4	version, edition, or translation
non-working day	4	day
property record	4	information
finitely generated group	4	group
landmass	4	physico-geographical object
dish	4	product
international organization	4	organization
social organization	4	unit of analysis
color	4	absence
workroom	4	room
city-state	4	state
specialized database	4	database
causality	4	relation
community	4	social group
collectible card game	4	card game
bridge	4	architectural structure
anthology	4	collection
juridical person	4	organization
Bien de Interés Cultural	4	heritage site
silence	4	absence
Judaism	4	monotheistic religion
main sequence	4	series
member state	4	state
client state	4	state
building	4	architectural structure
armed organization	4	organization
creativity	4	personality trait
body of water	4	physico-geographical object
emission nebula	4	astronomical object
estate	4	architectural structure
principality	4	state
villain	4	person
literary work	4	written work
drawing	4	visual artwork
recurring tournament	4	recurring sporting event
film series	4	work of art
intelligence agency	4	secret service
aerial bombing	4	airstrike
Soyuz	4	manned spacecraft
computer network	4	network
software license	4	Public License
artistic theme	4	information
constellation	4	astronomical object
military intervention	4	war
extrasolar object	4	astronomical object
Olympic award	4	sports award
creative work season	4	series
control room	4	facility
transmitter	4	architectural structure
company	4	organization
organizational subdivision	4	organization
evolution	4	change
communication medium	4	manifestation
subsidiary entity	4	organization
process material	4	intermediate product
characteristically simple group	4	group
satellite	4	astronomical object
emergency service	4	organization
minor-planet group	4	astronomical object
editing board	4	organization
arts festival	4	festival
oligarchy	4	organization
lect	4	languoid
Q20983805	4	architectural structure
means	4	action
proto-state	4	state
addiction	4	health problem
religious festival	4	festival
Weather god	4	nature deity
fiefdom	4	goods
administrative centre	4	geographic location
political organisation	4	organization
manorialism	4	organization
activist	4	person
transborder structure	4	architectural structure
music	4	academic discipline
video game	5	creative work
exhibition hall	5	building
Jewish holiday	5	religious festival
General anaesthetic	5	anesthetic
trans-Neptunian object	5	minor-planet group
live action	5	film
galaxy	5	deep-sky object
abbey	5	monastery
department	5	organizational subdivision
supervillain	5	superhuman
mental representation	5	representation
virtual community	5	community
freely redistributable software	5	software
serial	5	series of creative works
public law corporation	5	juridical person
law enforcement agency	5	armed organization
engineering process	5	process
Bible translation	5	translation
protest	5	activity
programming language	5	computer language
confederation	5	international organization
fiction	5	creative work
Greek sea god	5	water deity
catalogue	5	list
Roman Catholic shrine	5	shrine
religious building	5	building
performing arts building	5	building
meeting	5	event
interpersonal relationship	5	social relation
institute	5	institution
language status	5	condition
television program	5	series of creative works
urban sector	5	human settlement
